ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 312783, 302546, 672584, 327416, 312783, 642215, 357785, 397630, 803690,1307514,Denver
 313249, 303043, 672099, 327901, 313249, 641755, 358245, 397940, 803440,1308963,Dolores
 349575, 336203, 638992, 361008, 349575, 606958, 393042, 366280, 820340,1540562,Douglas
 349600, 336264, 638972, 361028, 349600, 606990, 393010, 366640, 819820,1569701,Eagle
 350637, 341141, 632850, 367150, 350637, 606377, 393623, 405040, 764730, 814480,Boulder
 351821, 341590, 632346, 367654, 351821, 605116, 394884, 397690, 772300, 861112,Broomfield
 353594, 343347, 630615, 369385, 353594, 603307, 396693, 397530, 773080, 874829,Chaffee
 354268, 344035, 629947, 370053, 354268, 602649, 397351, 397670, 772980, 875965,Cheyenne
 354761, 344603, 629357, 370643, 354761, 602079, 397921, 398420, 772780, 882513,ClearCreek
 355489, 345517, 628485, 371515, 355489, 601374, 398626, 400280, 771110, 888940,Costilla
 355538, 345497, 628491, 371509, 355538, 601334, 398666, 399590, 771570, 886846,Conejos
 356185, 346265, 627741, 372259, 356185, 600665, 399335, 400800, 770760, 890690,Crowley
 357459, 347622, 626435, 373565, 357459, 599408, 400592, 401630, 770270, 894320,Custer
 364138, 354569, 619598, 380402, 364138, 592987, 407013, 404310, 766110, 913690,Delta
 387803, 381340, 591142, 408858, 387803, 566689, 433311, 435370, 744530, 594726,Arapahoe
 390100, 374958, 597879, 402121, 390100, 564353, 435647, 348580, 835260,1947935,ElPaso
 390430, 384158, 588381, 411619, 390430, 564043, 435957, 437280, 743380, 603870,Archuleta
 391997, 385828, 586744, 413256, 391997, 562471, 437529, 438310, 742730, 606095,Baca
 392988, 386857, 585754, 414246, 392988, 561471, 438529, 438690, 742830, 608369,Bent
 393576, 378470, 594392, 405608, 393576, 560956, 439044, 348940, 834360,1966918,Elbert
 397243, 382407, 590466, 409534, 397243, 557247, 442753, 351640, 832190,1992475,Fremont
 398289, 383840, 589072, 410928, 398289, 556280, 443720, 355510, 827920,2023379,Garfield
 398357, 383952, 588952, 411048, 398357, 556197, 443803, 355950, 827550,2027565,Gilpin
 398563, 384202, 588689, 411311, 398563, 556034, 443966, 356390, 826550,2048321,Gunnison
 398615, 384256, 588632, 411368, 398615, 555981, 444019, 356410, 826510,2048953,Hinsdale
 398811, 384504, 588380, 411620, 398811, 555780, 444220, 356930, 826000,2053359,Huerfano
 398846, 384489, 588411, 411589, 398846, 555694, 444306, 356430, 827170,2037434,Grand
 398939, 404067, 566887, 433113, 398939, 543371, 456629, 551280, 735160, 236735,Adams
 398971, 384672, 588214, 411786, 398971, 555621, 444379, 357010, 825930,2054235,Jackson
 400262, 386012, 586746, 413254, 400262, 555176, 444824, 357500, 815700,2431592,Jefferson
 400436, 386195, 586568, 413432, 400436, 555005, 444995, 357590, 815630,2432495,Kiowa
 401085, 387033, 585760, 414240, 401085, 554426, 445574, 359480, 813340,2475993,Lake
 401089, 386872, 585908, 414092, 401089, 554360, 445640, 357830, 815480,2436365,KitCarson
 401134, 387047, 585767, 414233, 401134, 554401, 445599, 359130, 813660,2472032,LaPlata
 401630, 406758, 564158, 435842, 401630, 541050, 458950, 551280, 731080, 244543,Alamosa
 402366, 388760, 583801, 416199, 402366, 551747, 448253, 363940, 820540,2700331,Larimer
 402747, 389199, 583376, 416624, 402747, 551391, 448609, 364520, 819850,2708292,LasAnimas
 403142, 389606, 582979, 417021, 403142, 551002, 448998, 364640, 819770,2710943,Lincoln
 404576, 391069, 581538, 418462, 404576, 549599, 450401, 364930, 819390,2721475,Logan
 411572, 398699, 574012, 425988, 411572, 542565, 457435, 371270, 814470,2812097,Mesa
 411613, 398743, 573970, 426030, 411613, 542524, 457476, 371300, 814460,2812853,Mineral
 412560, 399761, 572967, 427033, 412560, 541574, 458426, 372010, 813930,2819879,Moffat
 413571, 400857, 571893, 428107, 413571, 540580, 459420, 372860, 813130,2835379,Montezuma
 415825, 403228, 569598, 430402, 415825, 538430, 461570, 374030, 811680,2860301,Montrose
 417170, 404637, 568222, 431778, 417170, 537097, 462903, 374670, 811250,2874045,Morgan
 417782, 405271, 567614, 432386, 417782, 536508, 463492, 374890, 811060,2887641,Ouray
